NT Book	NT Chapter	NT Verse	Greek text (NT)	Text re-use typology 1	Text re-use typology 2	Text re-use typology 3	Text re-use typology 4	Ps (LXX)	Ps Chapter	Ps Verse	Greek text (Psalms)	French translation (PS) Giguet	French translation (NT) TOB	Source (PNT = The Psalms in the New Testament, NA= Nestle-Aland, si vide, trouvé sur internet)				
1 Corinthians	10	5	"
ἀλλ’ οὐκ ἐν τοῖς πλείοσιν αὐτῶν εὐδόκησεν ὁ θεός, κατεστρώθησαν γὰρ ἐν τῇ ἐρήμῳ.
"	echo	implicit	thematic	distant	Psalms	77	31	" 	
καὶ ὀργὴ τοῦ θεοῦ ἀνέβη ἐπ’ αὐτοὺς καὶ ἀπέκτεινεν ἐν τοῖς πίοσιν αὐτῶν καὶ τοὺς ἐκλεκτοὺς τοῦ Ισραηλ συνεπόδισεν.
"	Et la colère du Seigneur s'éleva contre eux, et il mit à mort leurs riches, et il saisit les élus d'Israël.	"

Cependant, la plupart d'entre eux ne furent pas agréables à Dieu, puisque leurs cadavres jonchèrent le désert."	NA				
1 Corinthians	10	9	μηδὲ ἐκπειράζωμεν τὸν κύριον, καθώς τινες αὐτῶν ἐξεπείρασαν, καὶ ὑπὸ τῶν ὄφεων ἀπώλλυντο.	echo	explicit	thematic and semantic	among other verses	Psalms	77	18	καὶ ἐξεπείρασαν τὸν θεὸν ἐν ταῖς καρδίαις αὐτῶν τοῦ αἰτῆσαι βρώματα ταῖς ψυχαῖς αὐτῶν	Et ils ont tenté Dieu en leurs cœurs, en lui demandant des aliments pour leurs âmes.	"

Ne tentons pas non plus le Seigneur, comme le firent certains d'entre eux: des serpents les firent périr."	NA				
1 Corinthians	10	13	πειρασμὸς ὑμᾶς οὐκ εἴληφεν εἰ μὴ ἀνθρώπινος· πιστὸς δὲ ὁ θεός, ὃς οὐκ ἐάσει ὑμᾶς πειρασθῆναι ὑπὲρ ὃ δύνασθε, ἀλλὰ ποιήσει σὺν τῷ πειρασμῷ καὶ τὴν ἔκβασιν τοῦ δύνασθαι ὑπενεγκεῖν.	echo	implicit	thematic	distant	Psalms	144	13	ἡ βασιλεία σου βασιλεία πάντων τῶν αἰώνων, καὶ ἡ δεσποτεία σου ἐν πάσῃ γενεᾷ καὶ γενεᾷ. πιστὸς κύριος ἐν τοῖς λόγοις αὐτοῦ καὶ ὅσιος ἐν πᾶσι τοῖς ἔργοις αὐτοῦ..	le Seigneur est fidèleen ses paroles ;et saint en toutes ses œuvres.	"

Les tentations auxquelles vous avez été exposés ont été à la mesure de l'homme, Dieu est fidèle; il ne permettra pas que vous soyez tentés au-delà de vos forces. Avec la tentation, il vous donnera le moyen d'en sortir et la force de la supporter."	NA				
1 Corinthians	10	20	ἀλλ’ ὅτι ἃ θύουσιν [τὰ ἔθνη], δαιμονίοις καὶ οὐ θεῷ θύουσιν, οὐ θέλω δὲ ὑμᾶς κοινωνοὺς τῶν δαιμονίων γίνεσθαι.	echo	implicit	thematic	distant	Psalms	105	37	καὶ ἔθυσαν τοὺς υἱοὺς αὐτῶν καὶ τὰς θυγατέρας αὐτῶν τοῖς δαιμονίοις	Et ils sacrifièrent aux démons leurs fils et leurs filles.	"

Non! Mais comme leurs sacrifices sont offerts aux démons et non pas à Dieu, je ne veux pas que vous entriez en communion avec les démons."	NA				
1 Corinthians	10	26	"
τοῦ κυρίου γὰρ ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς.
"	quotation	implicit	litteral		Psalms	23	1	"
Ψαλμὸς τῷ Δαυιδ· τῆς μιᾶς σαββάτων. Τοῦ κυρίου ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς, ἡ οἰκουμένη καὶ πάντες οἱ κατοικοῦντες ἐν αὐτῇ·"	"[Psaume de David,
pour le premier jour de la semaine.] La terre est au Seigneur, et tout ce qu'elle contient, le monde et ceux qui l'habitent."	"

car la terre et tout ce qu'elle contient sont au Seigneur."	PNT  Swete NA				
1 Corinthians	10	26	τοῦ κυρίου γὰρ ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς.	echo	implicit	thematic and semantic	among other verses	Psalms	49	12	ἐὰν πεινάσω, οὐ μή σοι εἴπω· ἐμὴ γάρ ἐστιν ἡ οἰκουμένη καὶ τὸ πλήρωμα αὐτῆς.	Si j'ai faim, je ne te le dis pas ; car toute la terre habitée m'appartient et sa plénitude.	"

car la terre et tout ce qu'elle contient sont au Seigneur."	NA				
1 Corinthians	10	26	"
τοῦ κυρίου γὰρ ἡ γῆ καὶ τὸ πλήρωμα αὐτῆς."	echo	implicit	thematic and semantic	NULL	Psalms	88	12	σοί εἰσιν οἱ οὐρανοί, καὶ σή ἐστιν ἡ γῆ· τὴν οἰκουμένην καὶ τὸ πλήρωμα αὐτῆς σὺ ἐθεμελίωσας.	 A toi sont les cieux, à toi la terre ; tu as fondé l'univers et les êtres qu'il contient.	"

car la terre et tout ce qu'elle contient sont au Seigneur."	NA				
1 Corinthians	11	24	καὶ εὐχαριστήσας ἔκλασεν καὶ εἶπεν, Τοῦτό μού ἐστιν τὸ σῶμα τὸ ὑπὲρ ὑμῶν· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.	coincidence	implicit	lexical	NULL	Psalms	37	1	"         
Ψαλμὸς τῷ Δαυιδ· εἰς ἀνάμνησιν περὶ σαββάτου."	Psaume de David, pour se souvenirdu Sabbat.	"

et après avoir rendu grâce, il le rompit et dit: Ceci est mon corps, qui est pour vous, faites cela en mémoire de moi."	NA				
1 Corinthians	11	24	"
καὶ εὐχαριστήσας ἔκλασεν καὶ εἶπεν, Τοῦτό μού ἐστιν τὸ σῶμα τὸ ὑπὲρ ὑμῶν· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν."	coincidence	implicit	lexical	distant	Psalms	69	1	Εἰς τὸ τέλος·τῷ Δαυιδ εἰς ἀνάμνησιν,	Pour être chanté,souvenir de David, pour que le Seigneur le sauve.	"

et après avoir rendu grâce, il le rompit et dit: Ceci est mon corps, qui est pour vous, faites cela en mémoire de moi."	NA				
1 Corinthians	12	2	Οἴδατε ὅτι ὅτε ἔθνη ἦτε πρὸς τὰ εἴδωλα τὰ ἄφωνα ὡς ἂν ἤγεσθε ἀπαγόμενοι.	echo	implicit	thematic	among other verses	Psalms	113	13	στόμα ἔχουσιν καὶ οὐ λαλήσουσιν, ὀϕθαλμοὺς ἔχουσιν καὶ οὐκ ὄψονται,	Elles ont une bouche, et ne parleront pas ; elles ont des yeux, et ne verront pas.	"

Vous savez que, lorsque vous étiez païens, vous étiez entraînés, comme au hasard, vers les idoles muettes."	NA				
1 Corinthians	13	1	’Εὰν ταῖς γλώσσαις τῶν ἀνθρώπων λαλῶ καὶ τῶν ἀγγέλων, ἀγάπην δὲ μὴ ἔχω, γέγονα χαλκὸς ἠχῶν ἢ κύμβαλον ἀλαλάζον.	echo	implicit	lexical	distant	Psalms	150	5	αἰνεῖτε αὐτὸν ἐν κυμβάλοις εὐήχοις, αἰνεῖτε αὐτὸν ἐν κυμβάλοις ἀλαλαγμοῦ.	Louez-le sur les cymbales retentissantes ; louez-le sur les cymbales de joie.	"

Quand je parlerais en langues, celle des hommes et celle des anges, s'il me manque l'amour, je suis un métal qui résonne, une cymbale retentissante."	NA				
1 Corinthians	15	27	πάντα γὰρ ὑπέταξεν ὑπὸ τοὺς πόδας αὐτοῦ. ὅταν δὲ εἴπῃ ὅτι πάντα ὑποτέτακται, δῆλον ὅτι ἐκτὸς τοῦ ὑποτάξαντος αὐτῷ τὰ πάντα.	quotation	implicit	litteral	with commentary	Psalms	8	7	7 καὶ κατέστησας αὐτὸν ἐπὶ τὰ ἔργα τῶν χειρῶν σου,πάντα ὑπέταξας ὑποκάτω τῶν ποδῶν αὐτοῦ,	Et tu l'as mis à la tête des œuvres de tes mains ! Tu as placé toutes choses sous ses pieds.		PNT				
1 Corinthians	15	25	"
δεῖ γὰρ αὐτὸν βασιλεύειν ἄχρι οὗ θῇ πάντας τοὺς ἐχθροὺς ὑπὸ τοὺς πόδας αὐτοῦ."	quotation	implicit	modified		Psalms	109	1	Τῷ Δαυιδ ψαλμός. Εἶπεν ὁ κύριος τῷ κυρίῳ μου Κάθου ἐκ δεξιῶν μου, ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου.	[Psaume de David.] Le Seigneur a dit à mon Seigneur : Assieds-toi à ma droite, jusqu'à ce que j'aie fait de tes ennemis l'escabeau de tes pieds.	"

Car il faut qu'il règne, jusqu'à ce qu'il ait mis tous ses ennemis sous ses pieds."	PNT NA				
1 John	1	9	ἐὰν ὁμολογῶμεν τὰς ἁμαρτίας ἡμῶν, πιστός ἐστιν καὶ δίκαιος ἵνα ἀφῇ ἡμῖν τὰς ἁμαρτίας καὶ καθαρίσῃ ἡμᾶς ἀπὸ πάσης ἀδικίας.	echo	implicit	thematic and semantic	among other verses	Psalms	31	5	τὴν ἁμαρτίαν μου ἐγνώρισα καὶ τὴν ἀνομίαν μου οὐκ ἐκάλυψα·εἶπα ’Εξαγορεύσω κατ’ ἐμοῦ τὴν ἀνομίαν μου τῷ κυρίῳ· καὶ σὺ ἀϕῆκας τὴν ἀσέβειαν τῆς ἁμαρτίας μου.διάψαλμα.	Je t'ai fait connaître mon péché ; je n'ai point caché mon iniquité.J'ai dit : Je confesserai à Dieu mon iniquité contre moi ; et tu m'as pardonné l'impiété de mon péché.Interlude.	"

Si nous confessons nos péchés, fidèle et juste comme il est, il nous pardonnera nos péchés et nous purifiera de toute iniquité."	NA				
1 John	2	10	"
ὁ ἀγαπῶν τὸν ἀδελφὸν αὐτοῦ ἐν τῷ φωτὶ μένει, καὶ σκάνδαλον ἐν αὐτῷ οὐκ ἔστιν·
"	echo	implicit	lexical and structural similarity, thematic and semantic	distant	Psalms	118	165	εἰρήνη πολλὴ τοῖς ἀγαπῶσιν τὸν νόμον σου, καὶ οὐκ ἔστιν αὐτοῖς σκάνδαλον.	Ceux qui aiment ta loi jouissent d'une paix profonde, et il n'est point pour eux de scandale.	"

Qui aime son frère demeure dans la lumière, et il n'y a rien en lui pour le faire trébucher."	NA				
1 Peter	1	7	"
Μνημονεύετε τῶν ἡγουμένων ὑμῶν, οἵτινες ἐλάλησαν ὑμῖν τὸν λόγον τοῦ θεοῦ, ὧν ἀναθεωροῦντες τὴν ἔκβασιν τῆς ἀναστροφῆς μιμεῖσθε τὴν πίστιν.
"	echo	implicit	thematic and semantic	among other verses	Psalms	65	10	"ὅτι ἐδοκίμασας ἡμᾶς, ὁ θεός, ἐπύρωσας ἡμᾶς, ὡς πυροῦται τὸ ἀργύριον·
"	Tu nous as éprouvés, ô Dieu ; tu nous as purifiés par le feu, comme l'argent.	"

afin que la valeur éprouvée de votre foi — beaucoup plus précieuse que l'or périssable qui pourtant est éprouvé par le feu — obtienne louange, gloire et honneur lors de la révélation de Jésus Christ,"	NA				
1 Peter	1	17	Καὶ εἰ πατέρα ἐπικαλεῖσθε τὸν ἀπροσωπολήμπτως κρίνοντα κατὰ τὸ ἑκάστου ἔργον, ἐν φόβῳ τὸν τῆς παροικίας ὑμῶν χρόνον ἀναστράφητε,	echo	implicit	thematic and semantic	distant	Psalms	88	27	αὐτὸς ἐπικαλέσεταί με Πατήρ μου εἶ σύ, θεός μου καὶ ἀντιλήμπτωρ τῆς σωτηρίας μου·	Il m'invoquera, disant : tu es mon père, ô mon Dieu, et le défenseur de mon salut.	Et si vous invoquez comme Père celui qui, sans partialité, juge chacun selon son œuvre, conduisez-vous avec crainte durant le temps de votre séjour sur la terre,	NA				
1 Peter	2	1	’Αποθέμενοι οὖν πᾶσαν κακίαν καὶ πάντα δόλον καὶ ὑποκρίσεις καὶ φθόνους καὶ πάσας καταλαλιάς,	echo	implicit	thematic and semantic		Psalms	33	14	παῦσον τὴν γλῶσσάν σου ἀπὸ κακοῦ καὶ χείλη σου τοῦ μὴ λαλῆσαι δόλον.	Que sa langue s'abstienne du mal, et ses lèvres du mensonge.	Rejetez donc toute méchanceté et toute ruse, toute forme d'hypocrisie, d'envie et de médisance.	PNT				
1 Peter	2	3	εἰ ἐγεύσασθε ὅτι χρηστὸς ὁ κύριος.	quotation	implicit	modified		Psalms	33	9	γεύσασθε καὶ ἴδετε ὅτι χρηστὸς ὁ κύριος· μακάριος ἀνήρ, ὃς ἐλπίζει ἐπ’ αὐτόν.	Goûtez et voyez combien le Seigneur est doux ; heureux l'homme qui espère en lui.	"

si vous avez goûté que le Seigneur est bon."	PNT NA				
1 Peter	2	4	πρὸς ὃν προσερχόμενοι, λίθον ζῶντα, ὑπὸ ἀνθρώπων μὲν ἀποδεδοκιμασμένον παρὰ δὲ θεῷ ἐκλεκτὸν ἔντιμον,	echo	implicit	thematic and semantic		Psalms	117	22-23	"λίθον, ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες, οὗτος ἐγενήθη εἰς κεϕαλὴν γωνίας· 23 παρὰ κυρίου ἐγένετο αὕτη καὶ ἔστιν θαυμαστὴ ἐν ὀϕθαλμοῖς ἡμῶν.
"	"

La pierre que les constructeurs avaient rejetée est devenue la pierre angulaire de l'édifice.23 C'est le Seigneur qui a fait cela, et nos yeux en sont émerveillés."	"

Approchez-vous de lui, pierre vivante, rejetée par les hommes mais choisie et précieuse devant Dieu."	PNT NA				
1 Peter	2	11	’Αγαπητοί, παρακαλῶ ὡς παροίκους καὶ παρεπιδήμους ἀπέχεσθαι τῶν σαρκικῶν ἐπιθυμιῶν, αἵτινες στρατεύονται κατὰ τῆς ψυχῆς·	echo	implicit	lexical		Psalms	38	13	εἰσάκουσον τῆς προσευχῆς μου, κύριε, καὶ τῆς δεήσεώς μου ἐνώτισαι· τῶν δακρύων μουμὴ παρασιωπήσῃς, ὅτι πάροικος ἐγώ εἰμι παρὰ σοὶ καὶ παρεπίδημος καθὼς πάντες οἱ πατέρες μου.	Seigneur, écoute ma prière et ma supplication ; entends mes larmes ;ne garde pas le silence, car je suis sur la terre un passager, un voyageur comme l'ont été tous mes pères.	Bien-aimés, je vous exhorte, comme des gens de passage et des étrangers, à vous abstenir des convoitises charnelles, qui font la guerre à l'âme.	PNT NA				
1 Peter	2	6-8	"6 διότι περιέχει ἐν γραφῇ, ’Ιδοὺ τίθημι ἐν Σιὼν λίθον ἐκλεκτὸν ἀκρογωνιαῖον ἔντιμον, καὶ ὁ πιστεύων ἐπ’ αὐτῷ οὐ μὴ καταισχυνθῇ. 7 ὑμῖν οὖν ἡ τιμὴ τοῖς πιστεύουσιν· ἀπιστοῦσιν δὲ λίθος ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες οὗτος ἐγενήθη εἰς κεφαλὴν γωνίας 8  καὶ λίθος προσκόμματος καὶ πέτρα σκανδάλου· οἳ προσκόπτουσιν τῷ λόγῳ ἀπειθοῦντες, εἰς ὃ καὶ ἐτέθησαν.
"	quotation	implicit	litteral	with commentary	Psalms	117	22-23	"λίθον, ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες, οὗτος ἐγενήθη εἰς κεϕαλὴν γωνίας· 23 παρὰ κυρίου ἐγένετο αὕτη καὶ ἔστιν θαυμαστὴ ἐν ὀϕθαλμοῖς ἡμῶν.
"	"

La pierre que les constructeurs avaient rejetée est devenue la pierre angulaire de l'édifice.23 C'est le Seigneur qui a fait cela, et nos yeux en sont émerveillés."	Approchez-vous de lui, pierre vivante, rejetée par les hommes mais choisie et précieuse devant Dieu. 7 A vous donc, les croyants, l'honneur; mais pour les incrédules la pierre qu'ont rejetée les bâtisseurs est devenue la pierre de l'angle, 8 et aussi une pierre d'achoppement, un roc qui fait tomber. Ils s'y heurtent, parce qu'ils refusent de croire à la parole, et c'est à cela qu'ils étaient destinés.	PNT Swete NA				
1 Peter	3	10-12	ὁ γὰρ θέλων ζωὴν ἀγαπᾶν καὶ ἰδεῖν ἡμέρας ἀγαθὰς παυσάτω τὴν γλῶσσαν ἀπὸ κακοῦ καὶ χείλη τοῦ μὴ λαλῆσαι δόλον, 11 ἐκκλινάτω δὲ ἀπὸ κακοῦ καὶ ποιησάτω ἀγαθόν, ζητησάτω εἰρήνην καὶ διωξάτω αὐτήν.12 ὅτι ὀφθαλμοὶ κυρίου ἐπὶ δικαίους καὶ ὦτα αὐτοῦ εἰς δέησιν αὐτῶν, πρόσωπον δὲ κυρίου ἐπὶ ποιοῦντας κακά.	quotation	implicit	litteral		Psalms	33	13-17	13 τίς ἐστιν ἄνθρωπος ὁ θέλων ζωὴν ἀγαπῶν ἡμέρας ἰδεῖν ἀγαθάς; 14 παῦσον τὴν γλῶσσάν σου ἀπὸ κακοῦ καὶ χείλη σου τοῦ μὴ λαλῆσαι δόλον. 15 ἔκκλινον ἀπὸ κακοῦ καὶ ποίησον ἀγαθόν, ζήτησον εἰρήνην καὶ δίωξον αὐτήν. 16 ὀϕθαλμοὶ κυρίου ἐπὶ δικαίους, καὶ ὦτα αὐτοῦ εἰς δέησιν αὐτῶν. 17 πρόσωπον δὲ κυρίου ἐπὶ ποιοῦντας κακὰ τοῦ ἐξολεθρεῦσαι ἐκ γῆς τὸ μνημόσυνον αὐτῶν.	Quel est l'homme qui veut la vie, qui désire voir des jours heureux ? 14 Que sa langue s'abstienne du mal, et ses lèvres du mensonge. 15 Détourne-toi du mal, et fais le bien ; cherche la paix et la poursuis.16 Les yeux du Seigneur sont sur les justes, et ses oreilles vers leurs prières. 17 Le visage du Seigneur est tourné contre ceux qui font le mal, pour effacer de la terre leur souvenir.	"

En effet, qui veut aimer la vie et voir des jours heureux doit garder sa langue du mal et ses lèvres des paroles trompeuses, 11 se détourner du mal et faire le bien, rechercher la paix et la poursuivre. 12 Car les yeux du Seigneur sont sur les justes, et ses oreilles sont attentives à leur prière; mais la face du Seigneur se tourne contre ceux qui font le mal."	PNT  Swete NA				
1 Peter	3	22	"
ὅς ἐστιν ἐν δεξιᾷ [τοῦ] θεοῦ, πορευθεὶς εἰς οὐρανόν, ὑποταγέντων αὐτῷ ἀγγέλων καὶ ἐξουσιῶν καὶ δυνάμεων."	echo	implicit	thematic		Psalms	8	6	"
ἠλάττωσας αὐτὸν βραχύ τι παρ’ ἀγγέλους, δόξῃ καὶ τιμῇ ἐστεϕάνωσας αὐτόν·"	Tu l'as fait un peu moindre que les anges ; tu l'as couronné d'honneur et de gloire,	qui, parti pour le ciel, est à la droite de Dieu, et à qui sont soumis anges, Pouvoirs et Puissances.	PNT				
1 Peter	3	22	"
ὅς ἐστιν ἐν δεξιᾷ [τοῦ] θεοῦ, πορευθεὶς εἰς οὐρανόν, ὑποταγέντων αὐτῷ ἀγγέλων καὶ ἐξουσιῶν καὶ δυνάμεων."	echo	implicit	thematic		Psalms	109	1	Τῷ Δαυιδ ψαλμός. Εἶπεν ὁ κύριος τῷ κυρίῳ μου Κάθου ἐκ δεξιῶν μου, ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου.	[Psaume de David.] Le Seigneur a dit à mon Seigneur : Assieds-toi à ma droite, jusqu'à ce que j'aie fait de tes ennemis l'escabeau de tes pieds.	qui, parti pour le ciel, est à la droite de Dieu, et à qui sont soumis anges, Pouvoirs et Puissances.	PNT				
1 Peter	4	8	πρὸ πάντων τὴν εἰς ἑαυτοὺς ἀγάπην ἐκτενῆ ἔχοντες, ὅτι ἀγάπη καλύπτει πλῆθος ἁμαρτιῶν·	echo	implicit	lexical	distant	Psalms	31	1	Τῷ Δαυιδ· συνέσεως.Μακάριοι ὧν ἀϕέθησαν αἱ ἀνομίαι καὶ ὧν ἐπεκαλύϕθησαν αἱ ἁμαρτίαι·	[Un psaume de méditation, de David.]Heureux ceux à qui leurs péchés ont été remis, et dont les fautes ont été couvertes.	"

Ayez avant tout un amour constant les uns pour les autres, car l'amour couvre une multitude de péchés."	NA				
