NT_ref	NT_text	reuse_label	Ps_ref	Ps_text
1 Co 11:24	et gratias agens fregit et dixit hoc est corpus meum pro vobis hoc facite in meam commemorationem	coincidence	Ps 37:1	psalmus David in rememorationem  de sabbato
1 Co 11:24	et gratias agens fregit et dixit hoc est corpus meum pro vobis hoc facite in meam commemorationem	coincidence	Ps 69:1	in finem David  in rememoratione  eo quod salvum me fecit Dominus
1 Co 12:2	scitis quoniam cum gentes essetis ad simulacra muta prout ducebamini euntes	echo	Ps 113:13	os habent et non loquentur oculos habent et non videbunt
1 Co 13:1	si linguis hominum loquar et angelorum caritatem autem non habeam factus sum velut aes sonans aut cymbalum tinniens	echo	Ps 150:5	laudate eum in cymbalis bene sonantibus laudate eum in cymbalis iubilationis
1 Co 15:27	omnia subiecta sunt sine dubio praeter eum qui subiecit ei omnia	quotation	Ps 8:7	et constituisti eum super opera manuum tuarum
1 Co 15:25	oportet autem illum regnare donec ponat omnes inimicos sub pedibus eius	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
1 Jn 1:9	si confiteamur peccata nostra fidelis est et iustus ut remittat nobis peccata et emundet nos ab omni iniquitate	echo	Ps 31:5	delictum meum cognitum tibi feci et iniustitiam meam non abscondi  dixi confitebor adversus me iniustitiam meam Domino et tu remisisti impietatem peccati mei  diapsalma
1 Jn 2:10	qui diligit fratrem suum in lumine manet et scandalum in eo non est	echo	Ps 118:165	pax multa diligentibus legem tuam et non est illis scandalum
1 P 1:7	ut probatum vestrae fidei multo pretiosius sit auro quod perit per ignem probato inveniatur in laudem et gloriam et honorem in revelatione Iesu Christi	echo	Ps 65:10	quoniam probasti nos Deus igne nos examinasti sicut examinatur argentum
1 P 1:17	et si Patrem invocatis eum qui sine acceptione personarum iudicat secundum uniuscuiusque opus in timore incolatus vestri tempore conversamini	echo	Ps 88:27	ipse invocabit me pater meus es tu Deus meus et susceptor salutis meae
1 P 2:1	deponentes igitur omnem malitiam et omnem dolum et simulationes et invidias et omnes detractiones	echo	Ps 33:14	prohibe linguam tuam a malo et labia tua ne loquantur dolum
1 P 2:3	si gustastis quoniam dulcis Dominus	quotation	Ps 33:9	gustate et videte quoniam suavis est Dominus beatus vir qui sperat in eo
1 P 2:4	ad quem accedentes lapidem vivum ab hominibus quidem reprobatum a Deo autem electum honorificatum	echo	Ps 117:22-23	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud hoc est mirabile in oculis nostris
1 P 2:11	carissimi obsecro tamquam advenas et peregrinos abstinere vos a carnalibus desideriis quae militant adversus animam	echo	Ps 38:13	exaudi orationem meam Domine et deprecationem meam auribus percipe lacrimas meas  ne sileas quoniam advena sum apud te et peregrinus sicut omnes patres mei
1 P 2:6-8	propter quod continet in scriptura ecce pono in Sion lapidem summum angularem electum pretiosum et qui crediderit in eo non confundetur vobis igitur honor credentibus non credentibus autem lapis quem reprobaverunt aedificantes hic factus est in caput anguli et lapis offensionis et petra scandali qui offendunt verbo nec credunt in quod et positi sunt	quotation	Ps 117:22-23	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud hoc est mirabile in oculis nostris
1 P 3:10-12	qui enim vult vitam diligere et videre dies bonos coerceat linguam suam a malo et labia eius ne loquantur dolum declinet autem a malo et faciat bonum inquirat pacem et persequatur eam quia oculi Domini super iustos et aures eius in preces eorum vultus autem Domini super facientes mala	quotation	Ps 33:13-17	quis est homo qui vult vitam cupit videre dies bonos prohibe linguam tuam a malo et labia tua ne loquantur dolum deverte a malo et fac bonum inquire pacem et persequere eam oculi Domini super iustos et aures eius in precem eorum facies Domini super facientes mala ut perdat de terra memoriam eorum
1 P 3:22	qui est in dextera Dei profectus in caelum subiectis sibi angelis et potestatibus et virtutibus	echo	Ps 8:6	minuisti eum paulo minus ab angelis gloria et honore coronasti eum
1 P 3:22	qui est in dextera Dei profectus in caelum subiectis sibi angelis et potestatibus et virtutibus	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
1 P 4:8	ante omnia mutuam in vosmet ipsos caritatem continuam habentes quia caritas operit multitudinem peccatorum	echo	Ps 31:1	huic David intellectus  beati quorum remissae sunt iniquitates et quorum tecta sunt peccata
1 P 4:14	si exprobramini in nomine Christi beati quoniam gloriae Dei Spiritus in vobis requiescit	coincidence	Ps 88:51	memor esto Domine obprobrii servorum tuorum quod continui in sinu meo multarum gentium
1 P 5:7	omnem sollicitudinem vestram proicientes in eum quoniam ipsi cura est de vobis	echo	Ps 54:22-23	divisi sunt ab ira vultus eius et adpropinquavit cor illius  molliti sunt sermones eius super oleum et ipsi sunt iacula iacta super Dominum curam tuam et ipse te enutriet non dabit in aeternum fluctuationem iusto
1 P 5:8	sobrii estote vigilate quia adversarius vester diabolus tamquam leo rugiens circuit quaerens quem devoret	echo	Ps 21:14	aperuerunt super me os suum sicut leo rapiens et rugiens
1 Th 4:6	ut ne quis supergrediatur neque circumveniat in negotio fratrem suum quoniam vindex est Dominus de his omnibus sicut et praediximus vobis et testificati sumus	echo	Ps 93:1	psalmus David quarta sabbati  Deus ultionum Dominus Deus ultionum libere egit
1 Th 4:4-5	ut abstineatis vos a fornicatione ut sciat unusquisque vestrum suum vas possidere in sanctificatione et honore non in passione desiderii sicut et gentes quae ignorant Deum	echo	Ps 78:6	effunde iram tuam in gentes quae te non noverunt et in regna quae nomen tuum non invocaverunt
1 Tm 2:6	qui dedit redemptionem semet ipsum pro omnibus testimonium temporibus suis	echo	Ps 48:8	frater non redimit redimet homo non dabit Deo placationem suam
1 Tm 6:17	divitibus huius saeculi praecipe non sublime sapere neque sperare in incerto divitiarum sed in Deo qui praestat nobis omnia abunde ad fruendum	echo	Ps 61:11	nolite sperare in iniquitate et rapinas nolite concupiscere divitiae si affluant nolite cor adponere
1 Co 3:17	si quis autem templum Dei violaverit disperdet illum Deus templum enim Dei sanctum est quod estis vos	coincidence	Ps 67:36	mirabilis Deus in sanctis suis Deus Israhel ipse dabit virtutem et fortitudinem plebi suae benedictus Deus
1 Co 10:11	haec autem omnia in figura contingebant illis scripta sunt autem ad correptionem nostram in quos fines saeculorum devenerunt	coincidence	Ps 44:1	in finem  pro his qui commutabuntur filiis Core ad intellectum canticum pro dilecto
1 Co 10:11	haec autem omnia in figura contingebant illis scripta sunt autem ad correptionem nostram in quos fines saeculorum devenerunt	coincidence	Ps 56:1	in finem  ne disperdas David in tituli inscriptione cum fugeret a facie Saul in spelunca
1 Co 10:26	domini est terra et plenitudo eius	coincidence	Ps 95:11	laetentur caeli et exultet terra commoveatur mare et plenitudo eius
1 Co 14:19	sed in ecclesia volo quinque verba sensu meo loqui ut et alios instruam quam decem milia verborum in lingua	coincidence	Ps 38:4	concaluit cor meum intra me et in meditatione mea exardescet ignis
1 Jn 4:6	nos ex Deo sumus qui novit Deum audit nos qui non est ex Deo non audit nos in hoc cognoscimus Spiritum veritatis et spiritum erroris	coincidence	Ps 43:2	Deus auribus nostris audivimus patres nostri adnuntiaverunt nobis opus quod operatus es in diebus eorum in diebus antiquis
1 P 1:25	verbum autem Domini manet in aeternum hoc est autem verbum quod evangelizatum est in vos	echo	Ps 110:10	initium sapientiae timor Domini   intellectus bonus omnibus facientibus eum   laudatio eius manet in saeculum saeculi
1 P 3:11	declinet autem a malo et faciat bonum inquirat pacem et persequatur eam	quotation	Ps 36:27	declina a malo et fac bonum et inhabita in saeculum saeculi
1 P 5:11	ipsi imperium in saecula saeculorum amen	coincidence	Ps 83:5	beati qui habitant in domo tua in saecula saeculorum laudabunt te  diapsalma
1 Th 4:16	quoniam ipse Dominus in iussu et in voce archangeli et in tuba Dei descendet de caelo et mortui qui in Christo sunt resurgent primi	echo	Ps 97:5-6	psallite Domino in cithara in cithara et voce psalmi in tubis ductilibus et voce tubae corneae  iubilate in conspectu regis Domini
2 Co 1:10	qui de tantis periculis eripuit nos et eruet in quem speramus quoniam et adhuc eripiet	echo	Ps 32:19	ut eruat a morte animas eorum et alat eos in fame
2 Co 1:10	qui de tantis periculis eripuit nos et eruet in quem speramus quoniam et adhuc eripiet	echo	Ps 55:14	
2 Co 4:6	quoniam Deus qui dixit de tenebris lucem splendescere qui inluxit in cordibus nostris ad inluminationem scientiae claritatis Dei in facie Christi Iesu	echo	Ps 111:4	exortum est in tenebris lumen rectis   misericors et miserator et iustus
2 Co 4:13	habentes autem eundem spiritum fidei sicut scriptum est credidi propter quod locutus sum et nos credimus propter quod et loquimur	quotation	Ps 115:1	
2 Co 6:9	quasi morientes et ecce vivimus ut castigati et non mortificati	echo	Ps 117:17-18	non moriar sed vivam et narrabo opera Domini castigans castigavit me Dominus et morti non tradidit me
2 Co 6:11	os nostrum patet ad vos o Corinthii cor nostrum dilatatum est	coincidence	Ps 118:32	viam mandatorum tuorum cucurri cum dilatasti cor meum
2 Co 9:9	sicut scriptum est dispersit dedit pauperibus iustitia eius manet in aeternum	quotation	Ps 111:9	dispersit dedit pauperibus   iustitia eius manet in saeculum saeculi   cornu eius exaltabitur in gloria
2 Co 11:20	sustinetis enim si quis vos in servitutem redigit si quis devorat si quis accipit si quis extollitur si quis in faciem vos caedit	echo	Ps 52:5	nonne scient omnes qui operantur iniquitatem qui devorant plebem meam ut cibum panis
2 P 2:2	et multi sequentur eorum luxurias per quos via veritatis blasphemabitur	echo	Ps 118:30	viam veritatis elegi iudicia tua non sum oblitus
2 P 3:5	latet enim eos hoc volentes quod caeli erant prius et terra de aqua et per aquam consistens Dei verbo	echo	Ps 23:2	quia ipse super maria fundavit eum et super flumina praeparavit eum
2 P 3:8	unum vero hoc non lateat vos carissimi quia unus dies apud Dominum sicut mille anni et mille anni sicut dies unus	quotation	Ps 89:4	quoniam mille anni ante oculos tuos tamquam dies hesterna quae praeteriit  et custodia in nocte
2 Th 1:10	cum venerit glorificari in sanctis suis et admirabilis fieri in omnibus qui crediderunt quia creditum est testimonium nostrum super vos in die illo	echo	Ps 67:36	mirabilis Deus in sanctis suis Deus Israhel ipse dabit virtutem et fortitudinem plebi suae benedictus Deus
2 Th 1:10	cum venerit glorificari in sanctis suis et admirabilis fieri in omnibus qui crediderunt quia creditum est testimonium nostrum super vos in die illo	echo	Ps 88:8	Deus qui glorificatur in consilio sanctorum magnus et horrendus super omnes qui in circuitu eius sunt
2 Th 2:8	et tunc revelabitur ille iniquus quem Dominus Iesus interficiet spiritu oris sui et destruet inlustratione adventus sui	echo	Ps 32:6	verbo Domini caeli firmati sunt et spiritu oris eius omnis virtus eorum
2 Th 3:1	de cetero fratres orate pro nobis ut sermo Domini currat et clarificetur sicut et apud vos	echo	Ps 147:4	
2 Th 3:2	et ut liberemur ab inportunis et malis hominibus non enim omnium est fides	echo	Ps 139:2	eripe me Domine ab homine malo a viro iniquo eripe me
2 Tm 3:11	persecutiones passiones qualia mihi facta sunt Antiochiae Iconii Lystris quales persecutiones sustinui et ex omnibus me eripuit Dominus	echo	Ps 33:20	multae tribulationes iustorum et de omnibus his liberavit eos
2 Tm 4:14	Alexander aerarius multa mala mihi ostendit reddat ei Dominus secundum opera eius	echo	Ps 27:4	da illis secundum opera ipsorum et secundum nequitiam adinventionum ipsorum  secundum opera manuum eorum tribue illis redde retributionem eorum ipsis
2 Tm 4:14	Alexander aerarius multa mala mihi ostendit reddat ei Dominus secundum opera eius	quotation	Ps 61:13	et tibi Domine misericordia quia tu reddes unicuique iuxta opera sua
2 Co 1:4	qui consolatur nos in omni tribulatione nostra ut possimus et ipsi consolari eos qui in omni pressura sunt per exhortationem qua exhortamur et ipsi a Deo	echo	Ps 24:22	libera Deus Israhel ex omnibus tribulationibus suis
2 Co 3:13	et non sicut Moses ponebat velamen super faciem suam ut non intenderent filii Israhel in faciem eius quod evacuatur	coincidence	Ps 44:1	in finem  pro his qui commutabuntur filiis Core ad intellectum canticum pro dilecto
2 Co 3:13	et non sicut Moses ponebat velamen super faciem suam ut non intenderent filii Israhel in faciem eius quod evacuatur	coincidence	Ps 56:1	in finem  ne disperdas David in tituli inscriptione cum fugeret a facie Saul in spelunca
2 Co 9:9	sicut scriptum est dispersit dedit pauperibus iustitia eius manet in aeternum	coincidence	Ps 110:3	confessio et magnificentia opus eius   et iustitia eius manet in saeculum saeculi
2 Co 9:9	sicut scriptum est dispersit dedit pauperibus iustitia eius manet in aeternum	echo	Ps 111:3	gloria et divitiae in domo eius   et iustitia eius manet in saeculum saeculi
2 Jn 1:2	propter veritatem quae permanet in nobis et nobiscum erit in aeternum	echo	Ps 116:2	quoniam confirmata est super nos misericordia eius et veritas Domini manet in saeculum
2 Jn 1:2	propter veritatem quae permanet in nobis et nobiscum erit in aeternum	echo	Ps 145:6	qui fecit caelum et terram mare et omnia quae in eis
2 Tm 4:18	liberabit me Dominus ab omni opere malo et salvum faciet in regnum suum caeleste cui gloria in saecula saeculorum amen	coincidence	Ps 71:19	et benedictum nomen maiestatis eius in aeternum   et replebitur maiestate eius omnis terra fiat fiat
Ac 4:24	qui cum audissent unianimiter levaverunt vocem ad Deum et dixerunt Domine tu qui fecisti caelum et terram et mare et omnia quae in eis sunt	echo	Ps 23:1	psalmus David  prima sabbati  Domini est terra et plenitudo eius orbis terrarum et universi qui habitant in eo
Ac 4:24	qui cum audissent unianimiter levaverunt vocem ad Deum et dixerunt Domine tu qui fecisti caelum et terram et mare et omnia quae in eis sunt	echo	Ps 134:6	omnia quae voluit Dominus fecit in caelo et in terra in mare et in omnibus abyssis
Ac 7:10	et eripuit eum ex omnibus tribulationibus eius et dedit ei gratiam et sapientiam in conspectu Pharaonis regis Aegypti et constituit eum praepositum super Aegyptum et super omnem domum suam	echo	Ps 33:18	clamaverunt  iusti  et Dominus exaudivit  et ex omnibus tribulationibus eorum liberavit eos
Ac 14:15	qui in praeteritis generationibus dimisit omnes gentes ingredi in vias suas	echo	Ps 113:23	benedicti vos Domino qui fecit caelum et terram
Ac 14:15	qui in praeteritis generationibus dimisit omnes gentes ingredi in vias suas	echo	Ps 134:6	omnia quae voluit Dominus fecit in caelo et in terra in mare et in omnibus abyssis
Ac 17:24	deus qui fecit mundum et omnia quae in eo sunt hic caeli et terrae cum sit Dominus non in manufactis templis inhabitat	echo	Ps 145:6	qui fecit caelum et terram mare et omnia quae in eis
Ac 1:16	viri fratres oportet impleri scripturam quam praedixit Spiritus Sanctus per os David de Iuda qui fuit dux eorum qui conprehenderunt Iesum	echo	Ps 40:10	etenim homo pacis meae in quo speravi qui edebat panes meos magnificavit super me subplantationem
Ac 1:20	scriptum est enim in libro Psalmorum fiat commoratio eius deserta et non sit qui inhabitet in ea et episcopatum eius accipiat alius	quotation	Ps 108:8	fiant dies eius pauci et episcopatum eius accipiat alter
Ac 1:20	scriptum est enim in libro Psalmorum fiat commoratio eius deserta et non sit qui inhabitet in ea et episcopatum eius accipiat alius	quotation	Ps 68:26	fiat habitatio eorum deserta et in tabernaculis eorum non sit qui inhabitet
Ac 2:24	quem Deus suscitavit solutis doloribus inferni iuxta quod inpossibile erat teneri illum ab eo	echo	Ps 114:3	circumdederunt me dolores mortis pericula inferni invenerunt me  tribulationem et dolorem inveni
Ac 2:25	david enim dicit in eum providebam Dominum coram me semper quoniam a dextris meis est ne commovear	quotation	Ps 15:8	providebam Dominum in conspectu meo semper quoniam a dextris est mihi ne commovear
Ac 2:30	propheta igitur cum esset et sciret quia iureiurando iurasset illi Deus sedere super sedem eius de fructu lumbi eius	echo	Ps 88:4-5	disposui testamentum electis meis iuravi David servo meo usque in aeternum praeparabo semen tuum  et aedificabo in generationem et generationem sedem tuam  diapsalma
Ac 2:31	providens locutus est de resurrectione Christi quia neque derelictus est in inferno neque caro eius vidit corruptionem	quotation	Ps 15:10	quoniam non derelinques animam meam in inferno non dabis sanctum tuum videre corruptionem notas mihi fecisti vias vitae adimplebis me laetitia cum vultu tuo delectatio in dextera tua usque in finem
Ac 2:36	certissime ergo sciat omnis domus Israhel quia et Dominum eum et Christum Deus fecit hunc Iesum quem vos crucifixistis	quotation	Ps 19:7	impleat Dominus omnes petitiones tuas  nunc cognovi quoniam salvum fecit Dominus christum suum  exaudiet illum de caelo sancto suo in potentatibus salus dexterae eius
Ac 2:24	quem Deus suscitavit solutis doloribus inferni iuxta quod inpossibile erat teneri illum ab eo	echo	Ps 17:5	circumdederunt me dolores mortis et torrentes iniquitatis conturbaverunt me
Ac 2:25-28	david enim dicit in eum providebam Dominum coram me semper quoniam a dextris meis est ne commovear propter hoc laetatum est cor meum et exultavit lingua mea insuper et caro mea requiescet in spe quoniam non derelinques animam meam in inferno neque dabis Sanctum tuum videre corruptionem notas fecisti mihi vias vitae replebis me iucunditate cum facie tua	quotation	Ps 15:8-11	providebam Dominum in conspectu meo semper quoniam a dextris est mihi ne commovear propter hoc laetatum est cor meum et exultavit lingua mea insuper et caro mea requiescet in spe quoniam non derelinques animam meam in inferno non dabis sanctum tuum videre corruptionem notas mihi fecisti vias vitae adimplebis me laetitia cum vultu tuo delectatio in dextera tua usque in finem
Ac 2:30	propheta igitur cum esset et sciret quia iureiurando iurasset illi Deus sedere super sedem eius de fructu lumbi eius	quotation	Ps 131:11	iuravit Dominus David veritatem et non frustrabit eum de fructu ventris tui ponam super sedem tuam
Ac 2:33	dextera igitur Dei exaltatus et promissione Spiritus Sancti accepta a Patre effudit hunc quem vos videtis et audistis	echo	Ps 117:16	dextera Domini fecit virtutem  dextera Domini exaltavit me dextera Domini fecit virtutem
Ac 2:34-35	non enim David ascendit in caelos dicit autem ipse dixit Dominus Domino meo sede a dextris meis donec ponam inimicos tuos scabillum pedum tuorum	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Ac 4:8	tunc Petrus repletus Spiritu Sancto dixit ad eos  principes populi et seniores	echo	Ps 145:3	in filiis hominum quibus non est salus
Ac 4:11	hic est lapis qui reprobatus est a vobis aedificantibus qui factus est in caput anguli	quotation	Ps 117:22-23	lapidem quem reprobaverunt aedificantes hic factus est in caput anguli a Domino factum est istud hoc est mirabile in oculis nostris
Ac 4:27	convenerunt enim vere in civitate ista adversus sanctum puerum tuum Iesum quem unxisti Herodes et Pontius Pilatus cum gentibus et populis Israhel	echo	Ps 2:2	adstiterunt reges terrae et principes convenerunt in unum adversus Dominum et adversus christum eius diapsalma
Ac 4:24	qui cum audissent unianimiter levaverunt vocem ad Deum et dixerunt Domine tu qui fecisti caelum et terram et mare et omnia quae in eis sunt	quotation	Ps 145:6	qui fecit caelum et terram mare et omnia quae in eis
Ac 4:25-26	qui Spiritu Sancto per os patris nostri David pueri tui dixisti quare fremuerunt gentes et populi meditati sunt inania adstiterunt reges terrae et principes convenerunt in unum adversus Dominum et adversus Christum eius	quotation	Ps 2:1-2	psalmus David quare fremuerunt gentes et populi meditati sunt inania adstiterunt reges terrae et principes convenerunt in unum adversus Dominum et adversus christum eius diapsalma
Ac 7:10	et eripuit eum ex omnibus tribulationibus eius et dedit ei gratiam et sapientiam in conspectu Pharaonis regis Aegypti et constituit eum praepositum super Aegyptum et super omnem domum suam	echo	Ps 33:20	multae tribulationes iustorum et de omnibus his liberavit eos
Ac 7:10	et eripuit eum ex omnibus tribulationibus eius et dedit ei gratiam et sapientiam in conspectu Pharaonis regis Aegypti et constituit eum praepositum super Aegyptum et super omnem domum suam	echo	Ps 104:21	constituit eum dominum domus suae et principem omnis possessionis suae
Ac 7:41	et vitulum fecerunt in illis diebus et obtulerunt hostiam simulacro et laetabantur in operibus manuum suarum	echo	Ps 105:19	et fecerunt vitulum in Choreb et adoraverunt sculptile
Ac 7:54	audientes autem haec dissecabantur cordibus suis et stridebant dentibus in eum	echo	Ps 34:16	dissipati sunt nec conpuncti temptaverunt me subsannaverunt me subsannatione frenduerunt super me dentibus suis
Ac 7:54	audientes autem haec dissecabantur cordibus suis et stridebant dentibus in eum	echo	Ps 36:12	observabit peccator iustum et stridebit super eum dentibus suis
Ac 7:54	audientes autem haec dissecabantur cordibus suis et stridebant dentibus in eum	echo	Ps 111:10	peccator videbit et irascetur   dentibus suis fremet et tabescet   desiderium peccatorum peribit
Ac 7:55	cum autem esset plenus Spiritu Sancto intendens in caelum vidit gloriam Dei et Iesum stantem a dextris Dei  et ait ecce video caelos apertos et Filium hominis a dextris stantem Dei	echo	Ps 62:3	in terra deserta et invia et inaquosa  sic in sancto apparui tibi ut viderem virtutem tuam et gloriam tuam
Ac 7:17-18	cum adpropinquaret autem tempus repromissionis quam confessus erat Deus Abrahae crevit populus et multiplicatus est in Aegypto quoadusque surrexit rex alius in Aegypto  qui non sciebat Ioseph	echo	Ps 104:24	et auxit populum eius vehementer et firmavit eum super inimicos eius
Ac 7:42-43	convertit autem Deus et tradidit eos servire militiae caeli sicut scriptum est in libro Prophetarum numquid victimas aut hostias obtulistis mihi annis quadraginta in deserto domus Israhel et suscepistis tabernaculum Moloch et sidus dei vestri Rempham figuras quas fecistis adorare eas et transferam vos trans Babylonem	echo	Ps 105:26-27	et elevavit manum suam super eos ut prosterneret eos in deserto et ut deiceret semen eorum in nationibus et dispergeret eos in regionibus
Ac 7:46	qui invenit gratiam ante Deum et petiit ut inveniret tabernaculum Deo Iacob	echo	Ps 131:4-5	si dedero somnum oculis meis et palpebris meis dormitationem et requiem temporibus meis  donec inveniam locum Domino tabernaculum Deo Iacob
Ac 8:21	non est tibi pars neque sors in sermone isto cor enim tuum non est rectum coram Deo	quotation	Ps 77:37	cor autem ipsorum non erat rectum cum eo nec fideles habiti sunt in testamento eius
Ac 8:27	et surgens abiit et ecce vir aethiops eunuchus potens Candacis reginae Aethiopum qui erat super omnes gazas eius venerat adorare in Hierusalem	coincidence	Ps 67:32	venient legati ex Aegypto Aethiopia praeveniet manus eius Deo
Ac 10:35	sed in omni gente qui timet eum et operatur iustitiam acceptus est illi	quotation	Ps 14:2	qui ingreditur sine macula et operatur iustitiam
Ac 10:36	verbum misit filiis Israhel adnuntians pacem per Iesum Christum hic est omnium Dominus	quotation	Ps 106:20	misit verbum suum et sanavit eos et eripuit eos de interitionibus eorum
Ac 10:35-36	sed in omni gente qui timet eum et operatur iustitiam acceptus est illi verbum misit filiis Israhel adnuntians pacem per Iesum Christum hic est omnium Dominus	echo	Ps 147:7-9	
Ac 11:23	qui cum pervenisset et vidisset gratiam Dei gavisus est et hortabatur omnes proposito cordis permanere in Domino	coincidence	Ps 9:38	desiderium pauperum exaudivit Dominus praeparationem cordis eorum audivit auris tua
Ac 12:17	annuens autem eis manu ut tacerent enarravit quomodo Dominus eduxisset eum de carcere dixitque nuntiate Iacobo et fratribus haec et egressus abiit in alium locum	echo	Ps 106:10-16	sedentes in tenebris et umbra mortis vinctos in mendicitate et ferro quia exacerbaverunt eloquia Dei et consilium Altissimi inritaverunt et humiliatum est in laboribus cor eorum infirmati sunt nec fuit qui adiuvaret et clamaverunt ad Dominum cum tribularentur et de necessitatibus eorum liberavit eos et eduxit eos de tenebris et umbra mortis et vincula eorum disrupit confiteantur Domino misericordiae eius et mirabilia eius filiis hominum quia contrivit portas aereas et vectes ferreos confregit
Ac 13:22	et amoto illo suscitavit illis David regem cui et testimonium perhibens dixit inveni David filium Iesse virum secundum cor meum qui faciet omnes voluntates meas	echo	Ps 88:21	inveni David servum meum in oleo sancto meo linui eum
Ac 13:33	quoniam hanc Deus adimplevit filiis nostris resuscitans Iesum sicut et in psalmo secundo scriptum est Filius meus es tu ego hodie genui te	quotation	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Ac 13:35	ideoque et alias dicit non dabis Sanctum tuum videre corruptionem	quotation	Ps 15:10	quoniam non derelinques animam meam in inferno non dabis sanctum tuum videre corruptionem notas mihi fecisti vias vitae adimplebis me laetitia cum vultu tuo delectatio in dextera tua usque in finem
Ac 13:26	viri fratres filii generis Abraham et qui in vobis timent Deum vobis verbum salutis huius missum est	echo	Ps 106:20	misit verbum suum et sanavit eos et eripuit eos de interitionibus eorum
Ac 14:15	qui in praeteritis generationibus dimisit omnes gentes ingredi in vias suas	coincidence	Ps 41:3	sitivit anima mea ad Deum fortem vivum quando veniam et parebo ante faciem Dei
Ac 14:17	et haec dicentes vix sedaverunt turbas ne sibi immolarent	echo	Ps 144:16	aperis tu manum tuam et imples omne animal benedictione
